급성기의 심근염에서 회복된 이후에도 심부전 증세가 간헐적으로 나타나기도 하고, 드물게 재발이 되는 경우도 있다 .	O O O O O O O O O O O O O O O
그러나 방귀가 사라지지 않거나 다른 소화기증세와 함께 곤란을 겪는다면 가정의학과나 내과 전문의를 찾아가는 것이 좋다 .	O O O O O O O O O O O O O O O O
또 다른 미접종자는 어린이집 등원 차 기다리는데 화이자 1차 접종했다던 아이 친구 엄마랑 잠깐 이야기 나누는데 병원 소독약 냄새가 났다 .	O O O O O O O VACC-B O O O O O O O O O O O O O
당장 지난 9일부터 시작된 만 18~49세의 예방접종 사전예약률은 전체 목표치인 70%보다 미달(14일 오후 6시 기준 58.1%)인 상태다 .	O O O O O O O O O O O O O O O O O O
병원에서 뇌 관련 검사만 받다가 코로나 관련 의심이 있다고 알려진 심장 쪽 검사는 받지도 못하고, 치료다운 치료는 받아 보지도 못하고 8일 오전 3시 41분경에 사망했다”고 적었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
먼저 이날 질병청이 공개한 예방접종피해조사반이 중증 이상반응을 심의해 인과성을 인정한 사례는 총 303건으로 중증이상반응 신고 총 2440건의 12.4%에 불과했는데, 이에 대해 강기윤 국민의힘 의원은 국민들 입장에서는 이상사례들이 인정받지 못하니까 백신접종에 대한 불신이 생기는 것이라면서 백신접종 이후 정부차원에서 국민들이 유급휴가를 사용해 푹 쉴 수 있도록 도와주는 등 대책을 마련해야한다고 꼬집었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
◇지난해 독감 발생 적었는데… 지난해에는 많은 사람들이 마스크 착용과 개인 위생 수칙을 철저히 지킴에 따라 독감 발생이 크게 적었다 .	O O O O O O O O O O O O O O O O O O O O
접종 후 발열, 근육통이 심하다면 진통해열제를 복용하는 것이 증상을 개선하는 데 도움이 될 수 있고, 접종 후 가능하면 충분한 휴식을 취하는 것이 바람직하겠습니다 .	O O SYMP-B SYMP-B O O O O O O O O O O O O O O O O O O O O
뇌출혈, 뇌경색, 급성림프구성백혈병 등으로 사망한 경우도 눈에 띈다 .	DIS-B DIS-B DIS-B O O O O O O
진료비는 본인이 부담한 금액에 전액 지급되고 간병비는 일 5만원, 장제비는 30만원이 지급된다 .	O O O O O O O O O O O O O
현재 우리나라에서 접종 진행 중인 4종 백신도 살아있는 균을 사용하지 않는다 .	O O O O O O O O O O O O
조은희 코로나 예방접종대응추진단 안전접종관리반장은 2일 “코로나 백신 접종 후 부정출혈 등 생리 이상 반응에 대해 국내에서 보고는 있으나, 이에 대한 인과성은 아직 확실하게 밝혀진 바 없다”고 밝혔다 .	O O O O O O O O O SYMP-B O SYMP-B SYMP-I SYMP-I O O O O O O O O O O O O O O
청원인은 아내가 백신 접종 후 이틀 동안 하혈 증상을 보였지만 생리 기간이라 대수롭지 않게 생각했다라고 전했다. 하지만 5일이 지난 10월 20일 낮 12시 10분께 아내는 호흡곤란 증상을 보이다 집에서 쓰러졌다 .	O O O O O O O SYMP-B O O O O O O O O O O O O O O O O O SYMP-B O O O O O
‘AZ(아스트라제네카) 1차 (접종) 후 손가락 통증, 생리중단 증상이 나타났습니다’, ‘화이자 1차 접종 후 목이물감, 목조임 등이 생겼습니다’, ‘주변에서 50대 부작용 겪는 분 얘기 들어보셨나요?’, ‘백신 맞고 몸속 뜨거움	VACC-B O O O O O SYMP-B O O VACC-B O O O SYMP-B SYMP-B O O O O O O O O O O O O O
연구팀은 백신 접종 후 후유증이라고 알려진 뇌염, 골수염, 급성발작, 길랑바레 증후군 같은 신경질환, 급성 심근경색, 뇌졸중, 폐색전증 등 심혈관질환, 안면신경마비, 맹장염, 과민증, 아나필락시스, 다계통 염증 증후군 등에 주목했다 .	O O O O O O DIS-B DIS-B SYMP-B DIS-B DIS-I O O O DIS-B DIS-B DIS-B O DIS-B SYMP-B DIS-B O DIS-B O O O O O O
게시글은 3700개에 달한다 .	O O O O
이 카페에서 요구하는 것처럼 백신 접종으로 인해 발생하는 부작용에 대한 정부의 적극적인 대응이 좀 더 필요하다는 지적이다 .	O O O O O O O O O O O O O O O O O O
강 대표는 “미국에서는 백신 접종 이후 월경 이상 증상을 겪은 여성 14만명의 경험이 보고서로 공개되었고, 그러자 CDC(미 질병통제예방센터)도 데이터베이스 조사를 거쳐 백신 접종과 월경 이상의 연결고리를 인정했다”라며 “여성은 2등 시민이 아니다 .	O O O O O O SYMP-B SYMP-I O O O O O O O O O O O O O O O SYMP-B SYMP-I O O O O O O O
그러면서 강 대표는 “질병관리청은 여성의 ‘월경 이상’을 코로나 백신 이상반응 신고 첫 페이지에 하나의 항목으로 포함시키라”라며 “정부는 월경 이상과 관련한 실태를 제대로 확인하고 백신 접종을 앞둔 국민들에게 대처 방안을 안내해야 한다 .	O O O O O SYMP-B SYMP-I O O O O O O O O O O SYMP-B SYMP-I O O O O O O O O O O O O O
관할 보건소에 전화해도 답변이 좋지 않다 .	O O O O O O O
하혈을 부작용으로 인정해 달라는 내용의 글이 청와대 청원글이 올라왔다 .	SYMP-B O O O O O O O O O
관련 규정들은 6월 보건복지위 전체회의에 상정될 예정이며, 이후 소위에서 논의될 예정이다 .	O O O O O O O O O O O O
